Sun Apr 24 00:53:53 2016    profile

         1412500 function calls (1409886 primitive calls) in 1.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     12/1    0.000    0.000    1.123    1.123 {built-in method builtins.exec}
        1    0.000    0.000    1.123    1.123 optimize.py:8(<module>)
        1    0.020    0.020    0.975    0.975 C:\wamp\www\mesa\python\pointListGenerator.py:11(construct_point_list)
     5710    0.233    0.000    0.769    0.000 C:\wamp\www\mesa\python\classes.py:1129(available_attendees)
   124161    0.170    0.000    0.701    0.000 C:\wamp\www\mesa\python\classes.py:759(get)
   123337    0.164    0.000    0.519    0.000 C:\wamp\www\mesa\python\classes.py:794(get_value_from_datetime)
   247498    0.319    0.000    0.330    0.000 C:\wamp\www\mesa\python\functions.py:78(binary_index)
     5700    0.064    0.000    0.177    0.000 C:\wamp\www\mesa\python\classes.py:1146(is_required_attendees_busy)
        1    0.000    0.000    0.112    0.112 C:\wamp\www\mesa\python\functions.py:32(construct_modified_matrix)
        9    0.000    0.000    0.108    0.012 C:\wamp\www\mesa\python\classes.py:939(__init__)
        9    0.000    0.000    0.087    0.010 C:\wamp\www\mesa\python\classes.py:283(__init__)
        4    0.000    0.000    0.085    0.021 C:\wamp\www\mesa\python\classes.py:1122(construct_from_union_cm)
        4    0.016    0.004    0.085    0.021 C:\wamp\www\mesa\python\classes.py:464(construct_from_union)
    46067    0.026    0.000    0.026    0.000 {built-in method combine}
     14/6    0.000    0.000    0.024    0.004 <frozen importlib._bootstrap>:966(_find_and_load)
     14/6    0.000    0.000    0.024    0.004 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
        5    0.003    0.001    0.023    0.005 C:\wamp\www\mesa\python\classes.py:1029(construct_from_rawcalendar_with_traveltimes)
     14/6    0.000    0.000    0.022    0.004 <frozen importlib._bootstrap>:659(_load_unlocked)
     11/6    0.000    0.000    0.022    0.004 <frozen importlib._bootstrap_external>:656(exec_module)
     19/7    0.000    0.000    0.017    0.002 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
       11    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:726(get_code)
277170/277148    0.013    0.000    0.013    0.000 {built-in method builtins.len}
   129792    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.010    0.010 <frozen importlib._bootstrap_external>:718(source_to_code)
        1    0.010    0.010    0.010    0.010 {built-in method builtins.compile}
   129452    0.009    0.000    0.009    0.000 {method 'date' of 'datetime.datetime' objects}
   125624    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
   130418    0.009    0.000    0.009    0.000 {method 'time' of 'datetime.datetime' objects}
        1    0.001    0.001    0.008    0.008 C:\wamp\www\mesa\python\SClass.py:27(smallest_cost)
      104    0.000    0.000    0.008    0.000 C:\wamp\www\mesa\python\classes.py:173(__init__)
      104    0.000    0.000    0.008    0.000 C:\wamp\www\mesa\python\classes.py:190(construct_from_blevent)
      208    0.000    0.000    0.008    0.000 {built-in method strptime}
 2292/136    0.003    0.000    0.006    0.000 C:\Program Files\Python35\lib\copy.py:137(deepcopy)
        5    0.002    0.000    0.005    0.001 C:\wamp\www\mesa\python\classes.py:79(calculate_time_bound_end)
  246/136    0.000    0.000    0.005    0.000 C:\Program Files\Python35\lib\copy.py:270(_reconstruct)
      208    0.000    0.000    0.005    0.000 C:\Program Files\Python35\lib\_strptime.py:497(_strptime_datetime)
        5    0.001    0.000    0.004    0.001 C:\wamp\www\mesa\python\classes.py:51(calculate_time_bound_start)
        5    0.000    0.000    0.004    0.001 C:\wamp\www\mesa\python\classes.py:22(__init__)
      208    0.002    0.000    0.004    0.000 C:\Program Files\Python35\lib\_strptime.py:298(_strptime)
      6/1    0.000    0.000    0.004    0.004 C:\Program Files\Python35\lib\copy.py:240(_deepcopy_dict)
     99/4    0.001    0.000    0.004    0.001 C:\Program Files\Python35\lib\copy.py:215(_deepcopy_list)
      547    0.002    0.000    0.004    0.000 C:\wamp\www\mesa\python\classes.py:120(is_busy)
       14    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:879(_find_spec)
     2383    0.003    0.000    0.003    0.000 C:\wamp\www\mesa\python\SClass.py:52(vector_cost)
       12    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:813(get_data)
       10    0.000    0.000    0.003    0.000 C:\wamp\www\mesa\python\SClass.py:67(date_of_cost)
        1    0.000    0.000    0.003    0.003 C:\Program Files\Python35\lib\json\__init__.py:97(<module>)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1130(find_spec)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1098(_get_spec)
       23    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1212(find_spec)
        1    0.000    0.000    0.002    0.002 C:\Program Files\Python35\lib\_strptime.py:12(<module>)
       50    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
       50    0.002    0.000    0.002    0.000 {built-in method nt.stat}
    19609    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       15    0.000    0.000    0.002    0.000 C:\Program Files\Python35\lib\re.py:222(compile)
       15    0.000    0.000    0.002    0.000 C:\Program Files\Python35\lib\re.py:278(_compile)
        1    0.002    0.002    0.002    0.002 {built-in method builtins.print}
        9    0.000    0.000    0.002    0.000 C:\Program Files\Python35\lib\sre_compile.py:531(compile)
        5    0.001    0.000    0.002    0.000 C:\wamp\www\mesa\python\classes.py:415(construct_from_bounds)
        1    0.000    0.000    0.002    0.002 C:\wamp\www\mesa\python\classes.py:7(<module>)
    10917    0.002    0.000    0.002    0.000 C:\wamp\www\mesa\python\classes.py:241(is_busy)
      246    0.000    0.000    0.002    0.000 C:\Program Files\Python35\lib\copy.py:223(_deepcopy_tuple)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python35\lib\json\decoder.py:2(<module>)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_compile_bytecode)
       10    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        9    0.000    0.000    0.001    0.000 C:\Program Files\Python35\lib\sre_parse.py:819(parse)
      246    0.001    0.000    0.001    0.000 C:\Program Files\Python35\lib\copy.py:224(<listcomp>)
     23/9    0.000    0.000    0.001    0.000 C:\Program Files\Python35\lib\sre_parse.py:429(_parse_sub)
     36/9    0.000    0.000    0.001    0.000 C:\Program Files\Python35\lib\sre_parse.py:491(_parse)
    35/34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
      412    0.000    0.000    0.001    0.000 C:\wamp\www\mesa\python\classes.py:781(get_row_from_time)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:828(_cache_bytecode)
     2495    0.001    0.000    0.001    0.000 {built-in method math.ceil}
     2383    0.001    0.000    0.001    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:833(set_data)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python35\lib\_strptime.py:181(__init__)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python35\lib\_strptime.py:266(compile)
        9    0.000    0.000    0.001    0.000 C:\Program Files\Python35\lib\sre_compile.py:516(_code)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
      210    0.000    0.000    0.001    0.000 C:\Program Files\Python35\lib\_strptime.py:29(_getlang)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:99(_write_atomic)
      412    0.000    0.000    0.001    0.000 C:\wamp\www\mesa\python\classes.py:764(get_col_from_date)
      210    0.000    0.000    0.001    0.000 C:\Program Files\Python35\lib\locale.py:562(getlocale)
     53/9    0.000    0.000    0.001    0.000 C:\Program Files\Python35\lib\sre_compile.py:64(_compile)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python35\lib\datetime.py:5(<module>)
        7    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
        5    0.000    0.000    0.001    0.000 C:\wamp\www\mesa\python\classes.py:430(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python35\lib\json\scanner.py:2(<module>)
       25    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       12    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\encoder.py:2(<module>)
        4    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:477(<listcomp>)
        7    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\__init__.py:271(loads)
        7    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\decoder.py:334(decode)
        1    0.000    0.000    0.000    0.000 {built-in method nt.replace}
       40    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_compile.py:221(_compile_charset)
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:243(pattern)
      210    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\locale.py:459(_parse_localename)
        7    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\decoder.py:345(raw_decode)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:610(find_spec)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:52(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:595(_search_registry)
       10    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\SClass.py:87(to_string)
     9604    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       58    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       40    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_compile.py:248(_optimize_charset)
      222    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      351    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\copy.py:254(_keep_alive)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:588(_open_registry)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
       22    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
      570    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
      210    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\locale.py:376(normalize)
        1    0.000    0.000    0.000    0.000 {built-in method nt.open}
      210    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:6(<module>)
      208    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(cached)
     3377    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:339(_get_cached)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:163(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
    76/32    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:167(getwidth)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:483(_code_to_bytecode)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:416(_validate_bytecode_header)
      185    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:247(get)
        9    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_compile.py:412(_compile_info)
      276    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:226(__next)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
        6    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:224(__seqToRE)
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\__init__.py:182(dumps)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1061(_path_importer_cache)
  200/156    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:98(__calc_month)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       13    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:90(closegroup)
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\encoder.py:182(encode)
